Label, Technology filename: technology_input/techddr3_5x.json  Parameter filename: architecture_input/parddr3.json
IDD2n(in mA),43.65
IDD3n(in mA),47.65
IDD0(in mA),94.25138
IDD1(in mA),133.7615
IDD4R(in mA),225.4457
IDD4W(in mA),225.4457
IDD5(in mA),198.45
trcd(in ns),12.4385
tcl(in ns),14.84616
tcl_act(in ns),14.16437
trtp(in ns),5.432963
tccd(in ns),3.932962
tccd_act(in ns),3.752345
tras(in ns),24.50905
twr(in ns),8.348783
trp(in ns),8.978566
trc(in ns),33.48762
trl(in ns),14.84616
trl_act(in ns),14.16437
trfc(in ns),83.48762
tref1(in ns),1953.125
Bank Height(in um),1923.44
Bank Width(in um),2549.16
Chip Width(in um),5098.32
Chip Height(in um),9493.761
Chip Area(in mm^2),48.40223
Frequency(in MHz),1066
Max Core Freq(in MHz),254.2613
Act Core Freq(in MHz),266.5
clk(in ns),0.9380863
